Date,Open,High,Low,Close,Volume,Adj Close
2011/6/1,,,,,,
2011/6/2,,,,,,
2011/6/3,,,,,,
2011/6/4,,,,,,
2011/6/5,,,,,,
2011/6/6,1300.26,1300.26,1268.28,1270.98,3710360000,1270.98
2011/6/7,,,,,,
2011/6/8,,,,,,
2011/6/9,,,,,,
2011/6/10,,,,,,
2011/6/11,,,,,,
2011/6/12,,,,,,
2011/6/13,1271.31,1292.5,1258.07,1271.5,4093202000,1271.5
2011/6/14,,,,,,
2011/6/15,,,,,,
2011/6/16,,,,,,
2011/6/17,,,,,,
2011/6/18,,,,,,
2011/6/19,,,,,,
2011/6/20,1271.5,1298.61,1262.87,1268.45,3977604000,1268.45
2011/6/21,,,,,,
2011/6/22,,,,,,
2011/6/23,,,,,,
2011/6/24,,,,,,
2011/6/25,,,,,,
2011/6/26,,,,,,
2011/6/27,1268.44,1341.01,1267.53,1339.67,3901108000,1339.67
2011/6/28,,,,,,
2011/6/29,,,,,,
2011/6/30,,,,,,
2011/7/1,,,,,,
2011/7/2,,,,,,
2011/7/3,,,,,,
2011/7/4,,,,,,
2011/7/5,1339.59,1356.48,1330.92,1343.8,3737600000,1343.8
2011/7/6,,,,,,
2011/7/7,,,,,,
2011/7/8,,,,,,
2011/7/9,,,,,,
2011/7/10,,,,,,
2011/7/11,1343.31,1343.31,1306.51,1316.14,4153686000,1316.14
2011/7/12,,,,,,
2011/7/13,,,,,,
2011/7/14,,,,,,
2011/7/15,,,,,,
2011/7/16,,,,,,
2011/7/17,,,,,,
2011/7/18,1315.94,1347,1295.92,1345.02,4110088000,1345.02
2011/7/19,,,,,,
2011/7/20,,,,,,
2011/7/21,,,,,,
2011/7/22,,,,,,
2011/7/23,,,,,,
2011/7/24,,,,,,
2011/7/25,1344.32,1344.32,1282.86,1292.28,4207194000,1292.28
2011/7/26,,,,,,
2011/7/27,,,,,,
2011/7/28,,,,,,
2011/7/29,,,,,,
2011/7/30,,,,,,
2011/7/31,,,,,,
2011/8/1,1292.59,1307.38,1168.09,1199.38,5268348000,1199.38
2011/8/2,,,,,,
2011/8/3,,,,,,
2011/8/4,,,,,,
2011/8/5,,,,,,
2011/8/6,,,,,,
2011/8/7,,,,,,
2011/8/8,1198.48,1198.48,1101.54,1178.81,3865062000,1178.81
2011/8/9,,,,,,
2011/8/10,,,,,,
2011/8/11,,,,,,
2011/8/12,,,,,,
2011/8/13,,,,,,
2011/8/14,,,,,,
2011/8/15,1178.86,1208.47,1122.05,1123.53,4427032000,1123.53
2011/8/16,,,,,,
2011/8/17,,,,,,
2011/8/18,,,,,,
2011/8/19,,,,,,
2011/8/20,,,,,,
2011/8/21,,,,,,
2011/8/22,1123.55,1190.68,1121.09,1176.8,5309696000,1176.8
2011/8/23,,,,,,
2011/8/24,,,,,,
2011/8/25,,,,,,
2011/8/26,,,,,,
2011/8/27,,,,,,
2011/8/28,,,,,,
2011/8/29,1177.91,1230.71,1170.56,1173.97,4650126000,1173.97
2011/8/30,,,,,,
2011/8/31,,,,,,
2011/9/1,,,,,,
2011/9/2,,,,,,
2011/9/3,,,,,,
2011/9/4,,,,,,
2011/9/5,,,,,,
2011/9/6,1173.97,1204.4,1140.13,1154.23,4649140000,1154.23
2011/9/7,,,,,,
2011/9/8,,,,,,
2011/9/9,,,,,,
2011/9/10,,,,,,
2011/9/11,,,,,,
2011/9/12,1153.5,1220.06,1136.07,1216.01,4913056000,1216.01
2011/9/13,,,,,,
2011/9/14,,,,,,
2011/9/15,,,,,,
2011/9/16,,,,,,
2011/9/17,,,,,,
2011/9/18,,,,,,
2011/9/19,1214.99,1220.39,1114.22,1136.43,5128284000,1136.43
2011/9/20,,,,,,
2011/9/21,,,,,,
2011/9/22,,,,,,
2011/9/23,,,,,,
2011/9/24,,,,,,
2011/9/25,,,,,,
2011/9/26,1136.91,1195.86,1131.07,1131.42,4960282000,1131.42
2011/9/27,,,,,,
2011/9/28,,,,,,
2011/9/29,,,,,,
2011/9/30,,,,,,
2011/10/1,,,,,,
2011/10/2,,,,,,
2011/10/3,1131.21,1171.4,1074.77,1155.46,4514868000,1155.46
2011/10/4,,,,,,
2011/10/5,,,,,,
2011/10/6,,,,,,
2011/10/7,,,,,,
2011/10/8,,,,,,
2011/10/9,,,,,,
2011/10/10,1158.15,1224.61,1158.15,1224.58,4555924000,1224.58
2011/10/11,,,,,,
2011/10/12,,,,,,
2011/10/13,,,,,,
2011/10/14,,,,,,
2011/10/15,,,,,,
2011/10/16,,,,,,
2011/10/17,1224.47,1239.03,1191.48,1238.25,4767664000,1238.25
2011/10/18,,,,,,
2011/10/19,,,,,,
2011/10/20,,,,,,
2011/10/21,,,,,,
2011/10/22,,,,,,
2011/10/23,,,,,,
2011/10/24,1238.72,1292.66,1221.06,1285.09,4912236000,1285.09
2011/10/25,,,,,,
2011/10/26,,,,,,
2011/10/27,,,,,,
2011/10/28,,,,,,
2011/10/29,,,,,,
2011/10/30,,,,,,
2011/10/31,1284.96,1284.96,1215.42,1253.23,4549214000,1253.23
2011/11/1,,,,,,
2011/11/2,,,,,,
2011/11/3,,,,,,
2011/11/4,,,,,,
2011/11/5,,,,,,
2011/11/6,,,,,,
2011/11/7,1253.21,1277.55,1226.64,1263.85,3874182000,1263.85
2011/11/8,,,,,,
2011/11/9,,,,,,
2011/11/10,,,,,,
2011/11/11,,,,,,
2011/11/12,,,,,,
2011/11/13,,,,,,
2011/11/14,1263.85,1264.25,1209.43,1215.65,3865610000,1215.65
2011/11/15,,,,,,
2011/11/16,,,,,,
2011/11/17,,,,,,
2011/11/18,,,,,,
2011/11/19,,,,,,
2011/11/20,,,,,,
2011/11/21,1215.62,1215.62,1158.66,1158.67,3356230000,1158.67
2011/11/22,,,,,,
2011/11/23,,,,,,
2011/11/24,,,,,,
2011/11/25,,,,,,
2011/11/26,,,,,,
2011/11/27,,,,,,
2011/11/28,1158.67,1260.08,1158.67,1244.28,4335660000,1244.28
2011/11/29,,,,,,
2011/11/30,,,,,,
2011/12/1,,,,,,
2011/12/2,,,,,,
2011/12/3,,,,,,
2011/12/4,,,,,,
2011/12/5,1244.33,1267.06,1231.47,1255.19,4034362000,1255.19
2011/12/6,,,,,,
2011/12/7,,,,,,
2011/12/8,,,,,,
2011/12/9,,,,,,
2011/12/10,,,,,,
2011/12/11,,,,,,
2011/12/12,1255.05,1255.05,1209.47,1219.66,4235314000,1219.66
2011/12/13,,,,,,
